ts,device_id,skill_id,commanded_angle,target_angle,error,prev_error,action_idx,action_value,reward,q_value,td_error,epsilon,memory_size,retrieval_k,neighbor_agreement,tick_duration_ms,skill_elapsed_ms
27470,esp32-arm,default,94.0,90.0,-4.0,-4.0,4,0,-4.0,1.1552314,-4.1155232,0.2,128,5,0.8,90,25214
28435,esp32-arm,reach-target-fast,94.0,90.0,-4.0,-4.0,4,0,-4.0,1.1552314,-4.1155232,0.2,128,5,0.8,89,947
29402,esp32-arm,reach-target-fast,88.0,90.0,2.0,12.0,8,10,3.0,0.3,2.7,0.2,128,5,0.2,91,1914
30394,esp32-arm,reach-target-fast,91.0,90.0,-1.0,-2.0,3,-1,4.0,2.351371,3.725404,0.2,128,5,0.6,93,2905
31374,esp32-arm,reach-target-fast,93.0,90.0,-3.0,-5.0,2,-2,-3.0,0.397,-2.357292,0.2,128,5,0.8,90,3885
32344,esp32-arm,reach-target-fast,93.0,90.0,-3.0,-3.0,4,0,-3.0,1.1552314,-3.1155234,0.2,128,5,0.8,92,4855
33277,esp32-arm,reach-target-fast,94.0,90.0,-4.0,-4.0,4,0,-4.0,1.1552314,-4.1155232,0.2,128,5,0.8,90,5788
33862,esp32-arm,reach-target-fast,128.0,90.0,-38.0,-28.0,8,10,-38.0,0.0,0.0,0.2,128,0,0.0,47,6373
34357,esp32-arm,reach-target-fast,134.0,90.0,-44.0,-34.0,8,10,-44.0,0.0,0.0,0.2,128,0,0.0,39,6868
34858,esp32-arm,reach-target-fast,105.0,90.0,-15.0,-17.0,2,-2,-15.0,0.0,0.0,0.2,128,0,0.0,39,7369
35769,esp32-arm,reach-target-fast,93.0,90.0,-3.0,-3.0,4,0,-3.0,1.1552314,-3.1155234,0.2,128,5,0.8,93,8280
36734,esp32-arm,reach-target-fast,93.0,90.0,-3.0,-5.0,2,-2,-3.0,0.397,-2.357292,0.2,128,5,0.8,91,9245
37706,esp32-arm,reach-target-fast,94.0,90.0,-4.0,-4.0,4,0,-4.0,1.1552314,-4.1155232,0.2,128,5,0.8,89,276
38683,esp32-arm,reach-target-fast,93.0,90.0,-3.0,-3.0,4,0,-3.0,0.0,-1.96029184,0.2,128,5,0.0,92,1253
39686,esp32-arm,reach-target-fast,95.0,90.0,-5.0,5.0,8,10,-5.0,0.0,-1.7307162,0.2,128,5,1.0,96,2256
40467,esp32-arm,reach-target-fast,109.0,90.0,-19.0,-24.0,1,-5,-19.0,0.0,0.0,0.2,128,0,0.0,39,3037
41090,esp32-arm,reach-target-fast,95.0,90.0,-5.0,-7.0,2,-2,-5.0,0.397,-5.0397,0.2,128,5,0.8,89,3660
42060,esp32-arm,reach-target-fast,94.0,90.0,-4.0,-4.0,4,0,-4.0,1.1552314,-4.1155232,0.2,128,5,0.8,90,4631
43007,esp32-arm,reach-target-fast,96.0,90.0,-6.0,-4.0,6,2,-6.0,0.0,-5.6427,0.2,128,5,0.0,89,5577
43839,esp32-arm,reach-target-fast,81.0,45.0,-36.0,-46.0,0,-10,-36.0,0.0,0.0,0.2,128,0,0.0,45,6409
