ts,device_id,skill_id,commanded_angle,target_angle,error,prev_error,action_idx,action_value,reward,q_value,td_error,epsilon,memory_size,retrieval_k,neighbor_agreement,tick_duration_ms,skill_elapsed_ms
44340,esp32-arm,reach-target-fast,79.0,45.0,-34.0,-33.0,5,1,-34.0,0.0,0.0,0.2,128,0,0.0,38,6911
44834,esp32-arm,reach-target-fast,56.0,45.0,-11.0,-16.0,1,-5,-11.0,0.0,0.0,0.2,128,0,0.0,38,7404
45341,esp32-arm,reach-target-fast,58.0,45.0,-13.0,-23.0,0,-10,-13.0,0.0,0.0,0.2,128,0,0.0,46,7911
45841,esp32-arm,reach-target-fast,39.0,45.0,6.0,16.0,8,10,-6.0,0.0,0.0,0.2,128,0,0.0,45,8412
46343,esp32-arm,reach-target-fast,7.0,45.0,38.0,33.0,1,-5,-38.0,0.0,0.0,0.2,128,0,0.0,39,8913
46836,esp32-arm,reach-target-fast,9.0,45.0,36.0,41.0,7,5,-36.0,0.0,0.0,0.2,128,0,0.0,38,9407
47343,esp32-arm,reach-target-fast,10.0,45.0,35.0,45.0,8,10,-35.0,0.0,0.0,0.2,128,0,0.0,45,9913
47844,esp32-arm,reach-target-fast,17.0,45.0,28.0,26.0,2,-2,-28.0,0.0,0.0,0.2,128,0,0.0,45,10414
48345,esp32-arm,reach-target-fast,0.0,45.0,45.0,45.0,0,-10,-45.0,0.0,0.0,0.2,128,0,0.0,38,10915
48839,esp32-arm,reach-target-fast,2.0,45.0,43.0,45.0,6,2,-43.0,0.0,0.0,0.2,128,0,0.0,39,11409
49345,esp32-arm,reach-target-fast,43.0,45.0,2.0,7.0,7,5,3.0,0.0,0.0,0.2,128,0,0.0,45,11915
49847,esp32-arm,reach-target-fast,50.0,45.0,-5.0,-3.0,6,2,-5.0,0.0,0.0,0.2,128,0,0.0,46,12417
50348,esp32-arm,reach-target-fast,59.0,45.0,-14.0,-12.0,6,2,-14.0,0.0,0.0,0.2,128,0,0.0,38,12918
50842,esp32-arm,reach-target-fast,51.0,45.0,-6.0,-8.0,2,-2,-6.0,0.0,0.0,0.2,128,0,0.0,38,13413
51350,esp32-arm,reach-target-fast,55.0,45.0,-10.0,-10.0,4,0,-10.0,0.0,0.0,0.2,128,0,0.0,44,13920
51850,esp32-arm,reach-target-fast,47.0,45.0,-2.0,-12.0,0,-10,3.0,0.0,0.0,0.2,128,0,0.0,45,14421
52352,esp32-arm,reach-target-fast,43.0,45.0,2.0,2.0,4,0,3.0,0.0,0.0,0.2,128,0,0.0,39,14922
52847,esp32-arm,reach-target-fast,3.0,45.0,42.0,32.0,0,-10,-42.0,0.0,0.0,0.2,128,0,0.0,38,15417
53354,esp32-arm,reach-target-fast,0.0,45.0,45.0,40.0,1,-5,-45.0,0.0,0.0,0.2,128,0,0.0,45,15925
53855,esp32-arm,reach-target-fast,10.0,45.0,35.0,35.0,4,0,-35.0,0.0,0.0,0.2,128,0,0.0,45,16426
54358,esp32-arm,reach-target-fast,0.0,45.0,45.0,45.0,3,-1,-45.0,0.0,0.0,0.2,128,0,0.0,39,16928
54852,esp32-arm,reach-target-fast,10.0,45.0,35.0,45.0,8,10,-35.0,0.0,0.0,0.2,128,0,0.0,38,17422
55358,esp32-arm,reach-target-fast,0.0,45.0,45.0,45.0,1,-5,-45.0,0.0,0.0,0.2,128,0,0.0,45,17928
55859,esp32-arm,reach-target-fast,16.0,45.0,29.0,34.0,7,5,-29.0,0.0,0.0,0.2,128,0,0.0,45,18430
56360,esp32-arm,reach-target-fast,35.0,45.0,10.0,20.0,8,10,-10.0,0.0,0.0,0.2,128,0,0.0,38,18931
56854,esp32-arm,reach-target-fast,33.0,45.0,12.0,12.0,4,0,-12.0,0.0,0.0,0.2,128,0,0.0,38,19424
57362,esp32-arm,reach-target-fast,24.0,45.0,21.0,23.0,6,2,-21.0,0.0,0.0,0.2,128,0,0.0,45,19933
57864,esp32-arm,reach-target-fast,20.0,45.0,25.0,23.0,2,-2,-25.0,0.0,0.0,0.2,128,0,0.0,45,20434
58365,esp32-arm,reach-target-fast,24.0,45.0,21.0,11.0,0,-10,-21.0,0.0,0.0,0.2,128,0,0.0,38,20935
58860,esp32-arm,reach-target-fast,28.0,45.0,17.0,22.0,7,5,-17.0,0.0,0.0,0.2,128,0,0.0,39,21430
59365,esp32-arm,reach-target-fast,56.0,45.0,-11.0,-13.0,2,-2,-11.0,0.0,0.0,0.2,128,0,0.0,45,21936
59867,esp32-arm,reach-target-fast,73.0,45.0,-28.0,-26.0,6,2,-28.0,0.0,0.0,0.2,128,0,0.0,46,22437
60369,esp32-arm,reach-target-fast,43.0,45.0,2.0,-8.0,0,-10,3.0,0.0,0.0,0.2,128,0,0.0,38,22939
60863,esp32-arm,reach-target-fast,59.0,45.0,-14.0,-12.0,6,2,-14.0,0.0,0.0,0.2,128,0,0.0,38,23434
61371,esp32-arm,reach-target-fast,46.0,45.0,-1.0,-11.0,0,-10,4.0,0.0,0.0,0.2,128,0,0.0,45,23941
61872,esp32-arm,reach-target-fast,51.0,45.0,-6.0,-16.0,0,-10,-6.0,0.0,0.0,0.2,128,0,0.0,45,24442
62373,esp32-arm,reach-target-fast,30.0,45.0,15.0,20.0,7,5,-15.0,0.0,0.0,0.2,128,0,0.0,38,24943
62867,esp32-arm,reach-target-fast,23.0,45.0,22.0,24.0,6,2,-22.0,0.0,0.0,0.2,128,0,0.0,39,25437
63373,esp32-arm,reach-target-fast,20.0,45.0,25.0,35.0,8,10,-25.0,0.0,0.0,0.2,128,0,0.0,45,25944
63876,esp32-arm,reach-target-fast,44.0,45.0,1.0,6.0,7,5,4.0,0.0,0.0,0.2,128,0,0.0,45,26446
64378,esp32-arm,reach-target-fast,61.0,45.0,-16.0,-11.0,7,5,-16.0,0.0,0.0,0.2,128,0,0.0,39,26948
64873,esp32-arm,reach-target-fast,82.0,45.0,-37.0,-32.0,7,5,-37.0,0.0,0.0,0.2,128,0,0.0,39,27443
65380,esp32-arm,reach-target-fast,73.0,45.0,-28.0,-26.0,6,2,-28.0,0.0,0.0,0.2,128,0,0.0,45,27950
65882,esp32-arm,reach-target-fast,74.0,45.0,-29.0,-28.0,5,1,-29.0,0.0,0.0,0.2,128,0,0.0,45,28452
66383,esp32-arm,reach-target-fast,41.0,45.0,4.0,2.0,2,-2,-4.0,0.0,0.0,0.2,128,0,0.0,39,28953
66877,esp32-arm,reach-target-fast,65.0,45.0,-20.0,-10.0,8,10,-20.0,0.0,0.0,0.2,128,0,0.0,39,29447
67384,esp32-arm,reach-target-fast,48.0,45.0,-3.0,-13.0,0,-10,-3.0,0.0,0.0,0.2,128,0,0.0,45,29954
67885,esp32-arm,reach-target-fast,40.0,45.0,5.0,3.0,2,-2,-5.0,0.0,0.0,0.2,128,0,0.0,45,30455
68386,esp32-arm,reach-target-fast,27.0,45.0,18.0,13.0,1,-5,-18.0,0.0,0.0,0.2,128,0,0.0,39,30956
68880,esp32-arm,reach-target-fast,20.0,45.0,25.0,15.0,0,-10,-25.0,0.0,0.0,0.2,128,0,0.0,39,31451
69387,esp32-arm,reach-target-fast,42.0,45.0,3.0,4.0,5,1,-3.0,0.0,0.0,0.2,128,0,0.0,45,31957
69887,esp32-arm,reach-target-fast,14.0,45.0,31.0,36.0,7,5,-31.0,0.0,0.0,0.2,128,0,0.0,45,32458
70389,esp32-arm,reach-target-fast,4.0,45.0,41.0,31.0,0,-10,-41.0,0.0,0.0,0.2,128,0,0.0,39,32959
70882,esp32-arm,reach-target-fast,0.0,45.0,45.0,44.0,1,-5,-45.0,0.0,0.0,0.2,128,0,0.0,38,33452
71389,esp32-arm,reach-target-fast,14.0,45.0,31.0,36.0,7,5,-31.0,0.0,0.0,0.2,128,0,0.0,45,33959
71890,esp32-arm,reach-target-fast,10.0,45.0,35.0,45.0,8,10,-35.0,0.0,0.0,0.2,128,0,0.0,45,34460
72391,esp32-arm,reach-target-fast,41.0,45.0,4.0,9.0,7,5,-4.0,0.0,0.0,0.2,128,0,0.0,38,34961
72885,esp32-arm,reach-target-fast,35.0,45.0,10.0,12.0,6,2,-10.0,0.0,0.0,0.2,128,0,0.0,38,35455
73393,esp32-arm,reach-target-fast,31.0,45.0,14.0,24.0,8,10,-14.0,0.0,0.0,0.2,128,0,0.0,46,35963
73893,esp32-arm,reach-target-fast,34.0,45.0,11.0,6.0,1,-5,-11.0,0.0,0.0,0.2,128,0,0.0,45,36464
74397,esp32-arm,reach-target-fast,61.0,45.0,-16.0,-17.0,3,-1,-16.0,0.0,0.0,0.2,128,0,0.0,39,36967
74892,esp32-arm,reach-target-fast,65.0,45.0,-20.0,-22.0,2,-2,-20.0,0.0,0.0,0.2,128,0,0.0,38,37462
75398,esp32-arm,reach-target-fast,63.0,45.0,-18.0,-13.0,7,5,-18.0,0.0,0.0,0.2,128,0,0.0,45,37968
75899,esp32-arm,reach-target-fast,57.0,45.0,-12.0,-17.0,1,-5,-12.0,0.0,0.0,0.2,128,0,0.0,45,38469
76400,esp32-arm,reach-target-fast,86.0,45.0,-41.0,-39.0,6,2,-41.0,0.0,0.0,0.2,128,0,0.0,38,38971
76894,esp32-arm,reach-target-fast,56.0,45.0,-11.0,-12.0,3,-1,-11.0,0.0,0.0,0.2,128,0,0.0,38,39464
77401,esp32-arm,reach-target-fast,45.0,45.0,0.0,-10.0,0,-10,5.0,0.0,0.0,0.2,128,0,0.0,45,39972
77903,esp32-arm,reach-target-fast,31.0,45.0,14.0,19.0,7,5,-14.0,0.0,0.0,0.2,128,0,0.0,46,40474
78405,esp32-arm,reach-target-fast,64.0,45.0,-19.0,-9.0,8,10,-19.0,0.0,0.0,0.2,128,0,0.0,39,40975
78898,esp32-arm,reach-target-fast,78.0,45.0,-33.0,-31.0,6,2,-33.0,0.0,0.0,0.2,128,0,0.0,38,41469
79406,esp32-arm,reach-target-fast,83.0,45.0,-38.0,-39.0,3,-1,-38.0,0.0,0.0,0.2,128,0,0.0,45,41976
79907,esp32-arm,reach-target-fast,108.0,45.0,-63.0,-62.0,5,1,-63.0,0.0,0.0,0.2,128,0,0.0,45,42477
80408,esp32-arm,reach-target-fast,122.0,45.0,-77.0,-72.0,7,5,-77.0,0.0,0.0,0.2,128,0,0.0,38,42978
80902,esp32-arm,reach-target-fast,96.0,45.0,-51.0,-61.0,0,-10,-51.0,0.0,0.0,0.2,128,0,0.0,38,43472
81410,esp32-arm,reach-target-fast,101.0,45.0,-56.0,-46.0,8,10,-56.0,0.0,0.0,0.2,128,0,0.0,45,43980
81911,esp32-arm,reach-target-fast,113.0,45.0,-68.0,-63.0,7,5,-68.0,0.0,0.0,0.2,128,0,0.0,45,44482
82413,esp32-arm,reach-target-fast,144.0,45.0,-99.0,-100.0,3,-1,-99.0,0.0,0.0,0.2,128,0,0.0,39,44983
82907,esp32-arm,reach-target-fast,148.0,45.0,-103.0,-113.0,0,-10,-103.0,0.0,0.0,0.2,128,0,0.0,39,45477
83414,esp32-arm,reach-target-fast,151.0,45.0,-106.0,-106.0,4,0,-106.0,0.0,0.0,0.2,128,0,0.0,45,45985
83916,esp32-arm,reach-target-fast,168.0,45.0,-123.0,-122.0,5,1,-123.0,0.0,0.0,0.2,128,0,0.0,45,46486
84417,esp32-arm,reach-target-fast,170.0,45.0,-125.0,-130.0,1,-5,-125.0,0.0,0.0,0.2,128,0,0.0,39,46987
84911,esp32-arm,reach-target-fast,175.0,45.0,-130.0,-135.0,1,-5,-130.0,0.0,0.0,0.2,128,0,0.0,38,47481
85418,esp32-arm,reach-target-fast,175.0,45.0,-130.0,-130.0,4,0,-130.0,0.0,0.0,0.2,128,0,0.0,45,47988
85920,esp32-arm,reach-target-fast,174.0,45.0,-129.0,-119.0,8,10,-129.0,0.0,0.0,0.2,128,0,0.0,46,48490
86414,esp32-arm,reach-target-fast,164.0,45.0,-119.0,-117.0,6,2,-119.0,0.0,0.0,0.2,128,0,0.0,38,48984
86915,esp32-arm,reach-target-fast,171.0,45.0,-126.0,-116.0,8,10,-126.0,0.0,0.0,0.2,128,0,0.0,39,49486
87423,esp32-arm,reach-target-fast,178.0,45.0,-133.0,-135.0,2,-2,-133.0,0.0,0.0,0.2,128,0,0.0,45,49993
87925,esp32-arm,reach-target-fast,156.0,45.0,-111.0,-116.0,1,-5,-111.0,0.0,0.0,0.2,128,0,0.0,45,50495
88419,esp32-arm,reach-target-fast,180.0,45.0,-135.0,-135.0,5,1,-135.0,0.0,0.0,0.2,128,0,0.0,38,50989
88920,esp32-arm,reach-target-fast,180.0,45.0,-135.0,-135.0,5,1,-135.0,0.0,0.0,0.2,128,0,0.0,38,51490
89427,esp32-arm,reach-target-fast,173.0,45.0,-128.0,-126.0,6,2,-128.0,0.0,0.0,0.2,128,0,0.0,46,51997
89928,esp32-arm,reach-target-fast,155.0,45.0,-110.0,-110.0,4,0,-110.0,0.0,0.0,0.2,128,0,0.0,45,52498
90423,esp32-arm,reach-target-fast,179.0,45.0,-134.0,-134.0,4,0,-134.0,0.0,0.0,0.2,128,0,0.0,39,52993
90923,esp32-arm,reach-target-fast,180.0,45.0,-135.0,-135.0,6,2,-135.0,0.0,0.0,0.2,128,0,0.0,38,53493
91431,esp32-arm,reach-target-fast,165.0,45.0,-120.0,-110.0,8,10,-120.0,0.0,0.0,0.2,128,0,0.0,46,54001
91932,esp32-arm,reach-target-fast,178.0,45.0,-133.0,-134.0,3,-1,-133.0,0.0,0.0,0.2,128,0,0.0,45,54502
92426,esp32-arm,reach-target-fast,180.0,45.0,-135.0,-126.0,8,10,-135.0,0.0,0.0,0.2,128,0,0.0,39,54997
92926,esp32-arm,reach-target-fast,161.0,45.0,-116.0,-111.0,7,5,-116.0,0.0,0.0,0.2,128,0,0.0,38,55496
93434,esp32-arm,reach-target-fast,146.0,45.0,-101.0,-103.0,2,-2,-101.0,0.0,0.0,0.2,128,0,0.0,45,56004
93935,esp32-arm,reach-target-fast,149.0,45.0,-104.0,-109.0,1,-5,-104.0,0.0,0.0,0.2,128,0,0.0,46,56505
94429,esp32-arm,reach-target-fast,147.0,45.0,-102.0,-104.0,2,-2,-102.0,0.0,0.0,0.2,128,0,0.0,39,56999
94929,esp32-arm,reach-target-fast,137.0,45.0,-92.0,-87.0,7,5,-92.0,0.0,0.0,0.2,128,0,0.0,38,57499
95436,esp32-arm,reach-target-fast,159.0,45.0,-114.0,-109.0,7,5,-114.0,0.0,0.0,0.2,128,0,0.0,46,58006
95937,esp32-arm,reach-target-fast,150.0,45.0,-105.0,-110.0,1,-5,-105.0,0.0,0.0,0.2,128,0,0.0,45,58508
96432,esp32-arm,reach-target-fast,134.0,45.0,-89.0,-99.0,0,-10,-89.0,0.0,0.0,0.2,128,0,0.0,39,59002
96933,esp32-arm,reach-target-fast,146.0,45.0,-101.0,-106.0,1,-5,-101.0,0.0,0.0,0.2,128,0,0.0,39,59503
97439,esp32-arm,reach-target-fast,175.0,45.0,-130.0,-135.0,1,-5,-130.0,0.0,0.0,0.2,128,0,0.0,46,60009
97940,esp32-arm,reach-target-fast,179.0,45.0,-134.0,-135.0,3,-1,-134.0,0.0,0.0,0.2,128,0,0.0,46,60510
98435,esp32-arm,reach-target-fast,167.0,45.0,-122.0,-121.0,5,1,-122.0,0.0,0.0,0.2,128,0,0.0,38,61005
98935,esp32-arm,reach-target-fast,167.0,45.0,-122.0,-124.0,2,-2,-122.0,0.0,0.0,0.2,128,0,0.0,38,61505
99442,esp32-arm,reach-target-fast,144.0,45.0,-99.0,-98.0,5,1,-99.0,0.0,0.0,0.2,128,0,0.0,45,62012
99943,esp32-arm,reach-target-fast,154.0,45.0,-109.0,-99.0,8,10,-109.0,0.0,0.0,0.2,128,0,0.0,45,62513
100437,esp32-arm,reach-target-fast,132.0,45.0,-87.0,-88.0,3,-1,-87.0,0.0,0.0,0.2,128,0,0.0,39,63007
100937,esp32-arm,reach-target-fast,116.0,45.0,-71.0,-71.0,4,0,-71.0,0.0,0.0,0.2,128,0,0.0,38,63507
101444,esp32-arm,reach-target-fast,100.0,45.0,-55.0,-50.0,7,5,-55.0,0.0,0.0,0.2,128,0,0.0,46,64014
101945,esp32-arm,reach-target-fast,102.0,45.0,-57.0,-59.0,2,-2,-57.0,0.0,0.0,0.2,128,0,0.0,45,64515
102439,esp32-arm,reach-target-fast,114.0,45.0,-69.0,-59.0,8,10,-69.0,0.0,0.0,0.2,128,0,0.0,38,65009
102939,esp32-arm,reach-target-fast,119.0,45.0,-74.0,-74.0,4,0,-74.0,0.0,0.0,0.2,128,0,0.0,39,65509
103446,esp32-arm,reach-target-fast,97.0,45.0,-52.0,-42.0,8,10,-52.0,0.0,0.0,0.2,128,0,0.0,45,66016
103947,esp32-arm,reach-target-fast,126.0,45.0,-81.0,-86.0,1,-5,-81.0,0.0,0.0,0.2,128,0,0.0,45,66517
104441,esp32-arm,reach-target-fast,150.0,45.0,-105.0,-110.0,1,-5,-105.0,0.0,0.0,0.2,128,0,0.0,39,67011
104941,esp32-arm,reach-target-fast,132.0,45.0,-87.0,-85.0,6,2,-87.0,0.0,0.0,0.2,128,0,0.0,39,67511
105448,esp32-arm,reach-target-fast,153.0,45.0,-108.0,-98.0,8,10,-108.0,0.0,0.0,0.2,128,0,0.0,45,68018
105950,esp32-arm,reach-target-fast,163.0,45.0,-118.0,-120.0,2,-2,-118.0,0.0,0.0,0.2,128,0,0.0,46,68520
106444,esp32-arm,reach-target-fast,162.0,45.0,-117.0,-107.0,8,10,-117.0,0.0,0.0,0.2,128,0,0.0,39,69014
106945,esp32-arm,reach-target-fast,160.0,45.0,-115.0,-125.0,0,-10,-115.0,0.0,0.0,0.2,128,0,0.0,39,69515
107452,esp32-arm,reach-target-fast,160.0,45.0,-115.0,-114.0,5,1,-115.0,0.0,0.0,0.2,128,0,0.0,46,70022
107953,esp32-arm,reach-target-fast,171.0,45.0,-126.0,-128.0,2,-2,-126.0,0.0,0.0,0.2,128,0,0.0,45,70523
108449,esp32-arm,reach-target-fast,163.0,45.0,-118.0,-117.0,5,1,-118.0,0.0,0.0,0.2,128,0,0.0,38,71019
108949,esp32-arm,reach-target-fast,168.0,45.0,-123.0,-123.0,4,0,-123.0,0.0,0.0,0.2,128,0,0.0,39,71519
109456,esp32-arm,reach-target-fast,141.0,45.0,-96.0,-106.0,0,-10,-96.0,0.0,0.0,0.2,128,0,0.0,46,72026
109957,esp32-arm,reach-target-fast,143.0,45.0,-98.0,-88.0,8,10,-98.0,0.0,0.0,0.2,128,0,0.0,46,72527
110452,esp32-arm,reach-target-fast,148.0,45.0,-103.0,-113.0,0,-10,-103.0,0.0,0.0,0.2,128,0,0.0,39,73022
110957,esp32-arm,reach-target-fast,149.0,45.0,-104.0,-114.0,0,-10,-104.0,0.0,0.0,0.2,128,0,0.0,45,73527
111458,esp32-arm,reach-target-fast,153.0,45.0,-108.0,-113.0,1,-5,-108.0,0.0,0.0,0.2,128,0,0.0,45,74028
111960,esp32-arm,reach-target-fast,119.0,45.0,-74.0,-84.0,0,-10,-74.0,0.0,0.0,0.2,128,0,0.0,39,74530
112454,esp32-arm,reach-target-fast,150.0,45.0,-105.0,-95.0,8,10,-105.0,0.0,0.0,0.2,128,0,0.0,38,75024
112960,esp32-arm,reach-target-fast,149.0,45.0,-104.0,-106.0,2,-2,-104.0,0.0,0.0,0.2,128,0,0.0,45,75530
113461,esp32-arm,reach-target-fast,154.0,45.0,-109.0,-109.0,4,0,-109.0,0.0,0.0,0.2,128,0,0.0,45,76031
113962,esp32-arm,reach-target-fast,151.0,45.0,-106.0,-108.0,2,-2,-106.0,0.0,0.0,0.2,128,0,0.0,38,76532
114457,esp32-arm,reach-target-fast,179.0,45.0,-134.0,-124.0,8,10,-134.0,0.0,0.0,0.2,128,0,0.0,39,77027
114964,esp32-arm,reach-target-fast,180.0,45.0,-135.0,-135.0,6,2,-135.0,0.0,0.0,0.2,128,0,0.0,45,77535
115466,esp32-arm,reach-target-fast,171.0,45.0,-126.0,-127.0,3,-1,-126.0,0.0,0.0,0.2,128,0,0.0,45,78037
115967,esp32-arm,reach-target-fast,174.0,45.0,-129.0,-134.0,1,-5,-129.0,0.0,0.0,0.2,128,0,0.0,38,78538
116462,esp32-arm,reach-target-fast,164.0,45.0,-119.0,-114.0,7,5,-119.0,0.0,0.0,0.2,128,0,0.0,38,79033
116970,esp32-arm,reach-target-fast,152.0,45.0,-107.0,-109.0,2,-2,-107.0,0.0,0.0,0.2,128,0,0.0,44,79540
117471,esp32-arm,reach-target-fast,151.0,45.0,-106.0,-116.0,0,-10,-106.0,0.0,0.0,0.2,128,0,0.0,45,80041
117972,esp32-arm,reach-target-fast,136.0,45.0,-91.0,-93.0,2,-2,-91.0,0.0,0.0,0.2,128,0,0.0,38,80542
118468,esp32-arm,reach-target-fast,119.0,45.0,-74.0,-84.0,0,-10,-74.0,0.0,0.0,0.2,128,0,0.0,39,81038
118975,esp32-arm,reach-target-fast,117.0,45.0,-72.0,-77.0,1,-5,-72.0,0.0,0.0,0.2,128,0,0.0,45,81545
119477,esp32-arm,reach-target-fast,111.0,45.0,-66.0,-76.0,0,-10,-66.0,0.0,0.0,0.2,128,0,0.0,45,82047
119971,esp32-arm,reach-target-fast,107.0,45.0,-62.0,-60.0,6,2,-62.0,0.0,0.0,0.2,128,0,0.0,39,82541
120471,esp32-arm,reach-target-fast,133.0,45.0,-88.0,-86.0,6,2,-88.0,0.0,0.0,0.2,128,0,0.0,38,83041
120979,esp32-arm,reach-target-fast,120.0,45.0,-75.0,-85.0,0,-10,-75.0,0.0,0.0,0.2,128,0,0.0,45,83549
121481,esp32-arm,reach-target-fast,152.0,45.0,-107.0,-102.0,7,5,-107.0,0.0,0.0,0.2,128,0,0.0,45,84051
121974,esp32-arm,reach-target-fast,155.0,45.0,-110.0,-115.0,1,-5,-110.0,0.0,0.0,0.2,128,0,0.0,38,84545
122475,esp32-arm,reach-target-fast,166.0,45.0,-121.0,-122.0,3,-1,-121.0,0.0,0.0,0.2,128,0,0.0,38,85045
122983,esp32-arm,reach-target-fast,142.0,45.0,-97.0,-107.0,0,-10,-97.0,0.0,0.0,0.2,128,0,0.0,46,85553
123484,esp32-arm,reach-target-fast,160.0,45.0,-115.0,-114.0,5,1,-115.0,0.0,0.0,0.2,128,0,0.0,38,86054
123978,esp32-arm,reach-target-fast,162.0,45.0,-117.0,-119.0,2,-2,-117.0,0.0,0.0,0.2,128,0,0.0,39,86548
124484,esp32-arm,reach-target-fast,173.0,45.0,-128.0,-123.0,7,5,-128.0,0.0,0.0,0.2,128,0,0.0,45,87055
124987,esp32-arm,reach-target-fast,173.0,45.0,-128.0,-129.0,3,-1,-128.0,0.0,0.0,0.2,128,0,0.0,46,87557
125488,esp32-arm,reach-target-fast,168.0,45.0,-123.0,-118.0,7,5,-123.0,0.0,0.0,0.2,128,0,0.0,38,88058
125982,esp32-arm,reach-target-fast,165.0,45.0,-120.0,-115.0,7,5,-120.0,0.0,0.0,0.2,128,0,0.0,38,88552
126488,esp32-arm,reach-target-fast,150.0,45.0,-105.0,-104.0,5,1,-105.0,0.0,0.0,0.2,128,0,0.0,45,89058
126989,esp32-arm,reach-target-fast,132.0,45.0,-87.0,-85.0,6,2,-87.0,0.0,0.0,0.2,128,0,0.0,45,89560
127491,esp32-arm,reach-target-fast,150.0,45.0,-105.0,-110.0,1,-5,-105.0,0.0,0.0,0.2,128,0,0.0,39,90061
127985,esp32-arm,reach-target-fast,154.0,45.0,-109.0,-110.0,3,-1,-109.0,0.0,0.0,0.2,128,0,0.0,38,90556
128494,esp32-arm,reach-target-fast,170.0,45.0,-125.0,-120.0,7,5,-125.0,0.0,0.0,0.2,128,0,0.0,45,91064
128995,esp32-arm,reach-target-fast,155.0,45.0,-110.0,-109.0,5,1,-110.0,0.0,0.0,0.2,128,0,0.0,45,91565
129497,esp32-arm,reach-target-fast,147.0,45.0,-102.0,-101.0,5,1,-102.0,0.0,0.0,0.2,128,0,0.0,39,92067
129991,esp32-arm,reach-target-fast,173.0,45.0,-128.0,-130.0,2,-2,-128.0,0.0,0.0,0.2,128,0,0.0,38,92561
130497,esp32-arm,reach-target-fast,168.0,45.0,-123.0,-122.0,5,1,-123.0,0.0,0.0,0.2,128,0,0.0,45,93067
130998,esp32-arm,reach-target-fast,179.0,45.0,-134.0,-135.0,3,-1,-134.0,0.0,0.0,0.2,128,0,0.0,45,93568
131500,esp32-arm,reach-target-fast,175.0,45.0,-130.0,-130.0,4,0,-130.0,0.0,0.0,0.2,128,0,0.0,38,94071
131993,esp32-arm,reach-target-fast,180.0,45.0,-135.0,-128.0,8,10,-135.0,0.0,0.0,0.2,128,0,0.0,38,94564
